type	productId	name	mainImageUrl	lifestyleUrl	moreImages	video/s	category	collection	artist	artistName	color	colorStory	single/bundle	quantity	keywords	room	ribbon	bio	emotionalEnergy	scale	meaning	downloadLinkUrl	originalPrice	discount	newPrice
Product	1000077	Yellow Flowers	1799ca_f666492b46714a4eaf52c29ac2e2ec9d~mv2.jpg	1799ca_c41977be1da544869999e3de15a37adc~mv2.jpg			Paintings;Green;Yellow;Prints & Posters;Kitchen																19.95	60%	7.98
Product	1000078	Love	1799ca_f17218952bdf49a18b28ef26a0cdfa63~mv2.jpg	1799ca_c304fd1b53fc487ebbff14bf11868e9f~mv2.jpg			Paintings;Pink;Typography;Children;Prints & Posters																19.95	70%	5.98
Product	1000079	Red Watercolor	1799ca_cfb0e5f30ccf4151bb9ec554111a6da5~mv2.jpg	1799ca_c2887be34f51434eac7f9704f1c34600~mv2.jpg			Paintings;Prints & Posters																19.95	75%	4.98
Product	1000080	Bauhaus 02	1799ca_e5f18794f3074f22a75ec5b63b2fe1c3~mv2.jpg	1799ca_c2445e235e3149bc85d49e60121fafcf~mv2.jpg			Bauhaus																19.95	80%	3.99
Product	1000081	What If It All Works Out	1799ca_cf59c8585f0649c9bee3c70814d05982~mv2.jpg	1799ca_c1f5be3cb6804a33b2c16debed40b952~mv2.jpg			Typography																19.95	60%	7.98
Product	1000082	Free your mind	1799ca_e92192e576f54c55ab25c43d7340ccee~mv2.jpg	1799ca_c082fa600c1145dd9c7a0f7e8113bbd6~mv2.jpg			Prints & Posters;Aura																19.95	75%	4.98
Product	1000083	Hilma af Klint #003	1799ca_e69e2bf79af8472ba605f076be3fb106~mv2.jpg	1799ca_bfd03fe089e24687808025b402ef7de1~mv2.jpg			New Designs;Hilma af Klint Collection																19.95	75%	4.98
Product	1000084	Cheers	1799ca_bca2e5af95e84c33995caa9397b4ff64~mv2.jpg	1799ca_bef2feef67d84a2ab040a435f86b812d~mv2.jpg			Prints & Posters;Paintings;Blue																19.95	80%	3.99
Product	1000085	Bauhaus 03	1799ca_083188d1b3834a1b8ccc4ad27ae1055b~mv2.jpg	1799ca_bec680664a5643819b23001011f1fa3b~mv2.jpg			Bauhaus																19.95	75%	4.98
Product	1000086	Paired Silence	1799ca_f68a452c8c7845e79cec826739a35376~mv2.jpg	1799ca_bd96e41289c14ba78b9002c884565e0b~mv2.png			Paintings;Blue;Prints & Posters;Bestsellers																19.95	50%	9.97
Product	1000087	No Rain No Flowers	1799ca_db099b332d7c43b9bff338de4ceec17e~mv2.jpg	1799ca_bd71c08e997f482eb6c1125911b04a94~mv2.jpg			Paintings;Featured Artists;Prints & Posters;Boho;Beige																19.95	70%	5.98
Product	1000088	Landscape at Collioure	1799ca_0b0727e41865491e8636e5dcab41cb5b~mv2.jpg	1799ca_baf522ce3699491c9e3654718ac6b12e~mv2.jpg			Bestsellers;New Designs;H. Matisse Collection;Prints & Posters																19.95	75%	4.98
Product	1000089	Irises by Van Gogh	1799ca_95ed7f0749f44f3a8523bac997c13149~mv2.jpg	1799ca_b6dbc3a9ab154671b749c306f318e25e~mv2.jpg			Famous Painters;					Vincent van Gogh		Orange									19.95	75%	4.98
Product	1000090	Woman Under Willows	1799ca_ff484f2d582642aead830cdab49c5e1c~mv2.jpg	1799ca_b6642306037a4b84a91054184f340166~mv2.jpg			Paintings;Famous Painters;Green;Prints & Posters;Claude Monet																19.95	60%	7.98
Product	1000091	Baby (Cradle)	1799ca_bcd6f25af0e74480a96014bea4fa3a60~mv2.jpg	1799ca_b4327d349c54457599b1cec61238eda0~mv2.jpg			Prints & Posters;Paintings;Famous Painters;Gustav Klimt																19.95	60%	7.98
Product	1000092	Blue	1799ca_d87b34f9a4884874832dd25c116c17e4~mv2.jpg	1799ca_b370e40cc82c4462b3ef997ca9592144~mv2.jpg			Paintings;Famous Painters;Yellow;Hilma Af Klint;Illustrations;Prints & Posters;Abstract																19.95	80%	3.99
Product	1000093	Feed your soul	1799ca_da1948bb44a2484b8bd7e5fc597f4a43~mv2.jpg	1799ca_b29b2188636749d4957e471ae9cc24c6~mv2.jpg			Prints & Posters;Aura																19.95	55%	8.97
Product	1000094	Bildnis Eines Asiaten	1799ca_f57e80cf20ed452e971bb9d0d80e4c13~mv2.jpg	1799ca_b00a64608ed040aa89414dbb9e5fc273~mv2.jpg			Paul Klee;Paintings;Famous Painters;Blue;Prints & Posters																19.95	80%	3.99
Product	1000095	Rocks Abstract	1799ca_edae9e71843d49b28826dfc3d9a484a3~mv2.jpg	1799ca_af6e625abd0042018bcab809a3564907~mv2.jpg			Paintings;Black and White;Illustrations;Prints & Posters;Boho;Abstract;Top 18																19.95	60%	7.98
Product	1000096	Chanel Yacht Club	1799ca_c1d45068b8814bbe9365a1ae777d4e5e~mv2.jpg	1799ca_af5bde503f334869ab850ac8d8eb838b~mv2.jpg			New Designs;Vacay Mood;Photography																19.95	70%	5.98
Product	1000097	Two Flowers I	1799ca_edeacce82a314661a5c9c03dc9ffabd3~mv2.jpg	1799ca_ae37d3b19c084340ba3e47c747b2c784~mv2.jpg			Line Art																19.95	80%	3.99
